,,Basics,,,,,,,Year / project analysed,,,Information from CC Website,,,,Links,,,,People Helped,,,,,,,,,,,,,Money Flows - to find true(r) cost,,Money Flows - to find true(r) cost,,,,,,,,,,,,Money Flows - Incoming,,Reserves,,,App-Related Info,,,,,Description of charity,,Stories,Stories - source,Logo image,Photo Image,Photo Image,Photo Caption,Photo - source,Other ,,,,,Educated Guesses of Quality,,,
Cruse,,Bereavement,,Direct Work & campaigning,United Kingdom,,Yes,Sanjay,Policy work,,,Yes,,,,,http://apps.charitycommission.gov.uk/Accounts/Ends78/0000208078_AC_20150331_E_C.pdf,,Spend shown in the SOFA (p26),,,,,,,,,,,,,,"£151,675",,,,"£151,675",,,,,,,,,,,,,,,,?? to be decided,,,,,,,,,,,,,,,,,,#N/A,,,
Send a Cow,,International aid & poverty,,Direct Work,Developing World,,Yes,Sanjay,Overall,1-Jul-2013,30-Jun-2014,Yes,,,,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=299717&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends17/0000299717_AC_20140630_E_C.pdf,,,"7,653",,,,,,,,,,,,,"£5,878,044","£1,004",,,"£5,877,040",£767.94,,,,,,,,"P3 of the annual report says ""We worked with 17,250 households, approximately 120,000 people, in developing sustainable farming households. Of these, 7,653 households began their training programme, with 1,620 households graduated."" I have ignored the figure about the people ""worked with"" who didn't start the training programme, but have assumed that those who started the training programme will have got some benefit out of it, and therefore there should be some credit for that. The 1620 households are the ones for whom there is the most benefit. Bizarrely the cost doesn't seem to have been given as a separate line item, so I had to add up the fundraising costs, the costs of charitable activities and governance costs. Note that some of the costs go on other capmaigning costs and other activities, which haven't been given relevant credit here.","£6,276,132","£7,026,847",,,,,Yes,,,,,,,,,,,,,Email sent on 22/feb/16,,,,,B,3,"A video at https://www.sendacow.org/how-we-work shows that before their work, 23% of respondents were confident of being able to provide for their families, with 97% saying that they were confident after doing the training. Not clear how to reconcile this with the fact that only around 20% of those doing the course then ""graduate"" - I'm inclined to disregard the study shown in the video, as it seems likely that the respondents are biased to respond positively. And what's more, confidence doesn't really mean anything - the important question is whether they actually got a higher income at the end of it. I think the most important question is how big an impact does it make for he 1620 households who ""graduate"" - do they see a big increase in income? I'm going to guess yes.However the dilution effect means that the overall impact can't be too high - c 20% of the 7,653 beneficiaries will have a (presumably) big improvement lives, others a bit of help, and others minimal impact. Averaging this out to an impact of 3 seems right. More info may arrive, which may change this assessment. Note that a comparison with Bees For Development seems to suggest that BfD is much better, with a lower cost per beneficiary, and without any of the complications that arrive from giving goods to beneficiaries.",
Bees for Development,,International aid & poverty,,Direct Work,Developing World,,Yes,Sanjay,Overall,1-Apr-2014,31-Mar-2015,Yes,,,,,Cost comes direct from the charity,,,,,,,,,,,,,,,,"£153,633",,,,"£153,633",£180.00,,,,,,,Cost of providing one beneficiary with training in beekeeping was provided directly by the charity. We have not been able to verify that the calculation method is consistent with the method used with other charities.,"Note that there is a risk of inconsistency in approach here, since I have taken the cost per ben from the charity and not from the accoutns. One difference is taht the other charities will have (an unfair) loading from other activities that don't have direct beneficiaries, and BfD does have those activities, but won't receive an unfair loading from them. Note also that the most recent (2014-15) accounts are not available at the time of writing, and the older accounts don't really cover the beekeeping training in order to reduce poverty work","£151,742",,,,,,Yes,,Low,"Cost per ben taken from charity, with no ability to cross reference to the accounts",,,,,,,,,,,,,,,A,4,"BfD estimates that 70% of participants successfully engage with the programme, and generate a significant amount of extra income for themselves as a result. 5% of participants are very successful, and become very rich from it, and the rest are not so successful, perhaps dropping out.",
Heifer International,,International aid & poverty,,Direct Work,Developing World,,Yes,Sanjay,Overall,,,Yes,,,,,http://www.heifer.org/join-the-conversation/blog/2015/december/annual-report-2015.html,,,"117,000",,,,,,,,,,,,,"£79,112,759",0,,,"£79,112,759",£676.18,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,B,3,"Not a lot of info about the effectiveness of the help, but I'm just scoring this to be hte same as Send A Cow, since their approach seems similar",
Projects for all,,International Aid,,Direct Work,Developing World,,Yes,Sanjay,Overall,,,Yes,,,,,http://apps.charitycommission.gov.uk/Accounts/Ends96/0001148596_AC_20140331_E_C.pdf,,p4,250,,,,,,,,,,,,,"£39,016",,,,"£39,016",£156.06,,,,,,,,"The annual report actually referred to ""250+"" people registered. An old email from the CEO from a long time ago seemed to indicate that the number of beneficiaries might in fact be lots higher, but we've since lost touch, so I can't easily find out more",,,,,,,Yes,,,,,,,,,,,,,,,,,,B,3,"Extremely difficult to rate - the natural assumption is that children are left on their own to use the internet as they wish, they will use it for time-wasting a lot - just like the rest of us! This isn't necessarily bad, as long as it's also used for other valuable things - in particular for education, which is the intended purpose.",
Whizz kidz,,Disabilities,Children,Direct Work,United Kingdom,,Yes,Sanjay,Overall,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,£0,,,,,,,,,,,,,,,,Yes,,,,Whizz-Kidz provides disabled children with the essential wheelchairs and other mobility equipment they need to lead fun and active childhoods.,,,,,,,,,,,,,,#N/A,,,
Bank Workers Charity,,,,,,,Yes,Sanjay,Overall,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,£0,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,#N/A,,,
Action for Children,,Care/fostering/adoption & disabilities,Children,Direct Work & research & campaigning,United Kingdom,1097940,Yes,Sanjay,Overall,1-Apr-2015,31-Mar-2016,Yes,,,,,http://apps.charitycommission.gov.uk/Accounts/Ends40/0001097940_AC_20160331_E_C.pdf,,"Inside cover (ie the page before p1) mentions helping 390,000 children","390,000",children (singular: child) /families (singular: family) helped,"This covers lots of different types of help, including children’s and family centres, intensive family support, short breaks, employability, and fostering programmes",,,,,,,,,,,"£157,100,000",0,,0,"£157,100,000",£402.82,,,,,,,,,"£160,300,000","£18,090,000","£26,976,000",17%,Reserves come from bal sheet on p41,,Yes,Yes,,,"Action for Children helps disadvantaged children. They do work with children in care, children with disabilities, and provide support for children in their early years, through (e.g.) Children's Centres.",,,,,,,,,,,,,,#N/A,,,
Action for Children,,Care/fostering/adoption & disabilities,Children,Direct Work & research & campaigning,United Kingdom,1097940,Yes,Sanjay,Children in care,1-Apr-2015,31-Mar-2016,Yes,,,,,http://apps.charitycommission.gov.uk/Accounts/Ends40/0001097940_AC_20160331_E_C.pdf,,"P13 refers to six children joining the Treatment Foster Care Oregon-UK programme in Manchester, and 19 children on the Residential Outcomes Now programme",,,,,,,,,,,,,,"£26,634,937",,,,"£26,634,937",#DIV/0!,,,,,,,,,,,,,,,,,,,"Action for Children helps disadvantaged children. They do work with children in care, children with disabilities, and provide support for children in their early years, through (e.g.) Children's Centres.",,,,,,,,,,,,,,,,,
Action for Children,,Care/fostering/adoption & disabilities,Children,Direct Work & research & campaigning,United Kingdom,1097940,Yes,Sanjay,Disability,1-Apr-2015,31-Mar-2016,Yes,,,,,http://apps.charitycommission.gov.uk/Accounts/Ends40/0001097940_AC_20160331_E_C.pdf,,,,,,,,,,,,,,,,"£35,949,195",,,,"£35,949,195",#DIV/0!,,,,,,,,,,,,,,,,,,,"Action for Children helps disadvantaged children. They do work with children in care, children with disabilities, and provide support for children in their early years, through (e.g.) Children's Centres.",,,,,,,,,,,,,,,,,
Action for Children,,Care/fostering/adoption & disabilities,Children,Direct Work & research & campaigning,United Kingdom,1097940,Yes,Sanjay,Early years & family support,1-Apr-2015,31-Mar-2016,Yes,,,,,http://apps.charitycommission.gov.uk/Accounts/Ends40/0001097940_AC_20160331_E_C.pdf,,"P9 refers to 15375 pupils benefitting from the Roots of Empathy programme and 94 chidren across 37 families supported by Family partners, which the accounts describe as "" an effective new intervention to support families with young children overcome early signs of neglect"". However this part of the charity's work also includes being the largest single supplier of children's centres in England, which presumably is a big part of the cost.",,,,,,,,,,,,,,"£79,681,032",,,,"£79,681,032",#DIV/0!,,,,,,,,,,,,,,,,,,,"Action for Children helps disadvantaged children. They do work with children in care, children with disabilities, and provide support for children in their early years, through (e.g.) Children's Centres.",,,,,,,,,,,,,,,,,
Action for Children,,Care/fostering/adoption & disabilities,Children,Direct Work & research & campaigning,United Kingdom,1097940,Yes,Sanjay,Young people,1-Apr-2015,31-Mar-2016,Yes,,,,,http://apps.charitycommission.gov.uk/Accounts/Ends40/0001097940_AC_20160331_E_C.pdf,,,,,,,,,,,,,,,,"£14,145,555",,,,"£14,145,555",#DIV/0!,,,,,,,,,,,,,,,,,,,"Action for Children helps disadvantaged children. They do work with children in care, children with disabilities, and provide support for children in their early years, through (e.g.) Children's Centres.",,,,,,,,,,,,,,,,,
Action for Children,,Care/fostering/adoption & disabilities,Children,Direct Work & research & campaigning,United Kingdom,1097940,Yes,Sanjay,Campaigning & public policy,1-Apr-2015,31-Mar-2016,Yes,,,,,http://apps.charitycommission.gov.uk/Accounts/Ends40/0001097940_AC_20160331_E_C.pdf,,,,,,,,,,,,,,,,"£689,280",,,,"£689,280",#DIV/0!,,,,,,,,,,,,,,,,,,,"Action for Children helps disadvantaged children. They do work with children in care, children with disabilities, and provide support for children in their early years, through (e.g.) Children's Centres.",,,,,,,,,,,,,,,,,
Anthony Nolan Trust,,Health,,Direct Work & research,United Kingdom,,Yes,Sanjay,Overall,,,Yes,,,,,http://apps.charitycommission.gov.uk/Accounts/Ends16/0000803716_AC_20150331_E_C.pdf,,,"1,259",,,,,,,,,,,,,"£45,625,000","£334,000",,"£607,000","£44,684,000","£35,491.66",,,,,,,,"The accounts state that donor provision generates £34m of revenue, however it seems that this is simply the government providing money for the service - essentially this is a grant that happens to be dependent on the number of donors provided. This is therefore not a genuinely intrinsically self-sustaining element of income. I have given credit to the £334k of research revenue though.","£44,962,000","£9,452,000",,,,,No,,,,,,,,,,,,,Query sent on 2/Mar/16 via website about how mortality and morbidity rates vary between those who receive the intervention and those who don't,,,,,#N/A,,,"£6,555,000"
Anthony Nolan Trust,,Health,,Direct Work & research,United Kingdom,,Yes,Sanjay,Donor provision,,,Yes,,,,,http://apps.charitycommission.gov.uk/Accounts/Ends16/0000803716_AC_20150331_E_C.pdf,,P44 of the accounts (the SOFA) shows the split of spend between activities. Calcs here apportion some core costs too.,"1,259",patient(s) given the chance of life,This refers to patients given the chance of life through the provision of stem cells,,,,,,,,,,,"£40,625,409",,,"£540,485","£40,084,924","£31,838.70",,,,,,,,,,,,,,,Yes,Yes,,,"Anthony Nolan Trust provides stem cell or bone marrow transplants for people with blood cancer, which can save lives",,,,,,,,,,,,,,#N/A,,,"£5,836,703"
Anthony Nolan Trust,,Health,,Direct Work & research,United Kingdom,,Yes,Sanjay,Education and awareness,,,Yes,,,,,http://apps.charitycommission.gov.uk/Accounts/Ends16/0000803716_AC_20150331_E_C.pdf,,P44 of the accounts (the SOFA) shows the split of spend between activities. Calcs here apportion some core costs too.,,,,,,,,,,,,,,"£2,468,122",,,"£29,238","£2,438,884",,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,#N/A,,,"£315,741"
Anthony Nolan Trust,,Health,,Direct Work & research,United Kingdom,,Yes,Sanjay,Research,,,Yes,,,,,http://apps.charitycommission.gov.uk/Accounts/Ends16/0000803716_AC_20150331_E_C.pdf,,P44 of the accounts (the SOFA) shows the split of spend between activities. Calcs here apportion some core costs too.,,,,,,,,,,,,,,"£2,531,469","£334,000",,"£1,622","£2,195,846",,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,#N/A,,,"£17,519"
Asthma UK,,Health,,Research & Direct Work & campaigning,United Kingdom,802364,Yes,Sanjay,Overall,,,Yes,• THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES ,• CHILDREN / YOUNG PEOPLE • ELDERLY / OLD PEOPLE • PEOPLE WITH DISABILITIES • THE GENERAL PUBLIC / MANKIND ,• MAKES GRANTS TO ORGANISATIONS • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION • SPONSORS OR UNDERTAKES RESEARCH ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityFramework.aspx?RegisteredCharityNumber=802364&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends64/0000802364_AC_20150930_E_C.pdf,,,,,,,,,,,,,,,,,,,,£0,,,,,,,,,,,,,,,,Yes,,,,"Asthma UK works to stop asthma attacks and, ultimately, cure asthma by funding world leading research, and supporting people with asthma",,,,,,,,,,,,,,#N/A,,,
Bible Society,,Christian,,,,,Yes,Sanjay,Overall,,,,,,,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=232759&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends59/0000232759_AC_20150331_E_C.pdf,,,??????,,,,,,,,,,,,,,"£6,615,000",,,"-£6,615,000",,,,,,,,,,"£19,746,000",,,,,,Yes,,,,,,,,,,,,,,,,,,#N/A,,,
Bluebell wood children's hospice,,,Children,,,,Yes,Sanjay,,,,,,,,,http://apps.charitycommission.gov.uk/Accounts/Ends58/0001076958_AC_20150331_E_C.pdf,,,,,,,,,,,,,,,,,,,,£0,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,http://www.wikigiving.org.uk/index.php?title=Alphabetical_List_of_Charities,,,,#N/A,,,
Blue smile,,Children & health & education,,,,1139279,Yes,"Sanjay,Christina",Overall,1-Aug-2014,31-Jul-2015,Yes,• EDUCATION / TRAINING • THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES,• CHILDREN / YOUNG PEOPLE,• PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithoutPartB.aspx?RegisteredCharityNumber=1139279&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends79/0001139279_AC_20150731_E_C.pdf,,,???,,,,,,,,,,,,,"£187,349","£72,407",,"£10,578","£104,364",,,,,,,,,,"£217,221","£144,363",,,,,Yes,,,,,,,,,,,,,,http://www.wikigiving.org.uk/index.php?title=Alphabetical_List_of_Charities,,,,#N/A,,,"£18,463"
Children's Society,Church of England Children's Society,Children & health & christian,Children,,,221124,Yes,Adam B,Childcare and protection,1-Apr-2015,31-Mar-2016,Yes,,,,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=221124&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends24/0000221124_AC_20160331_E_C.pdf,https://www.childrenssociety.org.uk/sites/default/files/mkt054f_2016_impact-report_regional-pull-outs-digital_national_v1.pdf,"p3 of source 2 for no. of beneficiaries (=18164 * 0.73 = 13256), p20 of source 1 for cost","18,164",children(singular: child)/young people (singular: person) worked with,This refers to children worked with across children's centres and youth at risk services,13259.72,"young people (singular: person) experiencing positive changes across key areas of their lives including safety, relationships, and mental health, according to studies conducted by Children's Society",,,,,,,,"£23,182","£35,080,006",,,"£6,099,834.13","£28,980,171","£1,595","£2,645.61",,,,,,,,,,,,,,Yes,Yes,,,Improve lives of disadvantaged children and young people in the UK,"Most of the Children's Society's funds have been historically spent on working directly with children, with a minority of funds spent on campaigning and research. Priority themes include children in care, missing and runaways, substance misuse, mental health and sexual exploitation.",,,,,,,,,http://www.wikigiving.org.uk/index.php?title=Alphabetical_List_of_Charities,,,,#N/A,,,
Children's Society,Church of England Children's Society,Children & health & christian,Children,,,221124,Yes,Adam B,Campaigning,1-Apr-2015,31-Mar-2016,Yes,,,,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=221124&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends24/0000221124_AC_20160331_E_C.pdf,,p20 source 1,,,,,,,,,,,,,"£3,807","£5,760,917",,,"£1,001,728.43","£4,759,189",,,,,,,,,,,,,,,,,,,,Improve lives of disadvantaged children and young people in the UK,"Most of the Children's Society's funds have been historically spent on working directly with children, with a minority of funds spent on campaigning and research. Priority themes include children in care, missing and runaways, substance misuse, mental health and sexual exploitation.",,,,,,,,,http://www.wikigiving.org.uk/index.php?title=Alphabetical_List_of_Charities,,,,,,,
Children's Society,Church of England Children's Society,Children & health & christian,Children,,,221124,Yes,Adam B,Policy and Research,1-Apr-2015,31-Mar-2016,Yes,,,,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=221124&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends24/0000221124_AC_20160331_E_C.pdf,,p20 source 1,,,,,,,,,,,,,"£1,214","£1,837,077",,,"£319,437.44","£1,517,640",,,,,,,,,,,,,,,,,,,,Improve lives of disadvantaged children and young people in the UK,"Most of the Children's Society's funds have been historically spent on working directly with children, with a minority of funds spent on campaigning and research. Priority themes include children in care, missing and runaways, substance misuse, mental health and sexual exploitation.",,,,,,,,,http://www.wikigiving.org.uk/index.php?title=Alphabetical_List_of_Charities,,,,,,,
Children's Society,Church of England Children's Society,Children & health & christian,Children,,,221124,Yes,Adam B,Overall,1-Apr-2015,31-Mar-2016,Yes,,,,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=221124&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends24/0000221124_AC_20160331_E_C.pdf,,p20 source 1,,,,,,,,,,,,,,"£42,678,000",,,"£7,421,000.00","£35,257,000",,,,,,,,,,"£42,678,000",,"£35,440,000",100.52%,p21 in Source 1,,,,,,Improve lives of disadvantaged children and young people in the UK,"Most of the Children's Society's funds have been historically spent on working directly with children, with a minority of funds spent on campaigning and research. Priority themes include children in care, missing and runaways, substance misuse, mental health and sexual exploitation.",,,,,,,,,http://www.wikigiving.org.uk/index.php?title=Alphabetical_List_of_Charities,,,,,,,
Children with cancer,,Cancer,Children,,,,Yes,Sanjay,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,£0,,,,,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,http://www.wikigiving.org.uk/index.php?title=Alphabetical_List_of_Charities,,,,#N/A,,,
Citizen's Advice,,,,,,,Yes,Sanjay,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,£0,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,http://www.wikigiving.org.uk/index.php?title=Alphabetical_List_of_Charities,,,,#N/A,,,
CLIC Sargent Cancer Care for Children,,Cancer & health,Children,Direct Work & campaigning,United Kingdom,1107328,Yes,Sanjay,Overall,1-Apr-2015,31-Mar-2016,Yes,,,,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=1107328&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends28/0001107328_AC_20160331_E_C.pdf,,Source: chair's intro on p4,"7,100",young cancer patient(s) helped,"This refers to young people and their families receiving the emotional, practical, financial and clinical support that means they are more able to manage the worst effects of cancer on their lives as well as their health",,,,,,,,,,,"£25,785,000",,,2741000,"£23,044,000","£3,246",,,,,,,,,"£25,036,000","£19,700,000","£2,700,000",10%,"Source: p33. States that the target range is £3.5m to £5m, so they are a bit behind that, although they have a discretionary lower limit of £2.5m",,Yes,Yes,Medium,,CLIC Sargent provides specialist support services to children with cancer and their families to,,,,,,,,,,http://www.wikigiving.org.uk/index.php?title=Alphabetical_List_of_Charities,,,,#N/A,,,
Cystic Fybrosis Trust,,Health,,Research & campaigning,United Kingdom,1079049,Yes,Sanjay,Overall,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,£0,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,http://www.wikigiving.org.uk/index.php?title=Alphabetical_List_of_Charities,,,,#N/A,,,
Gurkha Welfare Trust,,Military/veterans,,,,,Yes,Sanjay,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,£0,,,,,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,http://www.wikigiving.org.uk/index.php?title=Alphabetical_List_of_Charities,,,,#N/A,,,
Kenya Children's Trust,,International aid & education,Children,,Kenya,,Yes,Sanjay,,,,Yes,• EDUCATION / TRAINING • THE PREVENTION OR RELIEF OF POVERTY • ENVIRONMENT / CONSERVATION / HERITAGE • ECONOMIC / COMMUNITY DEVELOPMENT / EMPLOYMENT ,,,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithoutPartB.aspx?RegisteredCharityNumber=1132988&SubsidiaryNumber=0,,,,Too small to produce accounts,,,,,,,,,,,,,,,,,£0,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,#N/A,,,
Keyring,,,,,,,Yes,Sanjay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,£0,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,#N/A,,,
Marie Stopes International,,Sexual health,Women,,Developing World,265543,Yes,Sanjay,,1-Jan-2015,31-Dec-2015,Yes,,,,,,,,"29,500,000",Couple Year(s) of Protection,A couple year of protection is the contraception needed for a couple to prevent pregnancy for a year,"3,400,000",safe abortion or post-abortion care service(s),,,,,,,,,"£255,611,000",0,,0,"£255,611,000",£9,£75.18,,,,,,,,,,,,,,Yes,,,,"Marie Stopes International works in 37 countries around the world, helping women to have children by choice, not chance. This includes providing contraception and abortion services",,,,,,,,,,,,,,#N/A,,,
Mencap,,Disabilities,,,,222377,Yes,Emily & Sanjay,Overall,1-Apr-2015,31-Mar-2016,Yes,• EDUCATION / TRAINING • DISABILITY • ACCOMMODATION / HOUSING • ECONOMIC / COMMUNITY DEVELOPMENT / EMPLOYMENT • RECREATION ,• CHILDREN / YOUNG PEOPLE • ELDERLY / OLD PEOPLE • PEOPLE WITH DISABILITIES ,• PROVIDES BUILDINGS / FACILITIES / OPEN SPACE • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/DocumentList.aspx?RegisteredCharityNumber=222377&SubsidiaryNumber=0&DocType=AccountList,http://apps.charitycommission.gov.uk/Accounts/Ends77/0000222377_AC_20160331_E_C.pdf,,,,,,,,,,,,,,,,"£183,899,000",0,,0,"£183,899,000",,,,,,,,,,"£191,328,000","£14,297,000","£19,645,000",11%,"Reports and Accounts p47, they state that the target is £9.7m",,,"No, waiting on reply to email",,,,,,,,,,,,Message sent on 26th/apr/2017 via mencap website. Record kept in an email to myself (to sanjay@sogive.org),,,,,#N/A,,,"£4,087,000"
Mencap,,Disabilities,,,,222377,Yes,Emily & Sanjay,Supporting People,1-Apr-2015,31-Mar-2016,Yes,• EDUCATION / TRAINING • DISABILITY • ACCOMMODATION / HOUSING • ECONOMIC / COMMUNITY DEVELOPMENT / EMPLOYMENT • RECREATION ,• CHILDREN / YOUNG PEOPLE • ELDERLY / OLD PEOPLE • PEOPLE WITH DISABILITIES ,• PROVIDES BUILDINGS / FACILITIES / OPEN SPACE • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/DocumentList.aspx?RegisteredCharityNumber=222377&SubsidiaryNumber=0&DocType=AccountList,http://apps.charitycommission.gov.uk/Accounts/Ends77/0000222377_AC_20160331_E_C.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No, waiting on reply to email",,,,,,,,,,,,Message sent on 26th/apr/2017 via mencap website. Record kept in an email to myself (to sanjay@sogive.org),,,,,,,,
Mencap,,Disabilities,,,,222377,Yes,Emily & Sanjay,Raising Awareness & Changing Attitudes,1-Apr-2015,31-Mar-2016,Yes,• EDUCATION / TRAINING • DISABILITY • ACCOMMODATION / HOUSING • ECONOMIC / COMMUNITY DEVELOPMENT / EMPLOYMENT • RECREATION ,• CHILDREN / YOUNG PEOPLE • ELDERLY / OLD PEOPLE • PEOPLE WITH DISABILITIES ,• PROVIDES BUILDINGS / FACILITIES / OPEN SPACE • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/DocumentList.aspx?RegisteredCharityNumber=222377&SubsidiaryNumber=0&DocType=AccountList,http://apps.charitycommission.gov.uk/Accounts/Ends77/0000222377_AC_20160331_E_C.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No, waiting on reply to email",,,,,,,,,,,,Message sent on 26th/apr/2017 via mencap website. Record kept in an email to myself (to sanjay@sogive.org),,,,,,,,
MHA (aka Methodist Homes),,,Elderly,Direct Work,United Kingdom,1083995,Yes,Sanjay,Overall,1-Apr-2014,31-Mar-2015,Yes,,,,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/DocumentList.aspx?RegisteredCharityNumber=1083995&SubsidiaryNumber=0&DocType=AccountList,http://apps.charitycommission.gov.uk/Accounts/Ends95/0001083995_AC_20160331_E_C.pdf,,,"16,000",,,,,,,,,,,,,"£174,171,000","£159,692,000",,,"£14,479,000",£905,,,,,,,,,,,,,,,Yes,"No, Looks like some work may have been done on this ages ago, but needs to be udpated",,,"MHA Care Homes, Retirement Villages, Dementia Care and Community Support for the Elderly.",,,,,,,,,,,,,,,,,
MHA (aka Methodist Homes),,,Elderly,Direct Work,United Kingdom,1083995,Yes,Sanjay,Overall,1-Apr-2015,31-Mar-2016,Yes,,,,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/DocumentList.aspx?RegisteredCharityNumber=1083995&SubsidiaryNumber=0&DocType=AccountList,http://apps.charitycommission.gov.uk/Accounts/Ends95/0001083995_AC_20160331_E_C.pdf,,,,,,,,,,,,,,,,"£184,141,000","£164,025,000",,,"£20,116,000",#DIV/0!,,,,,,,,,,,,,,,,,,,"MHA Care Homes, Retirement Villages, Dementia Care and Community Support for the Elderly.",,,,,,,,,,,,,,#DIV/0!,,,
MHA (aka Methodist Homes),,,Elderly,Direct Work,United Kingdom,1083995,Yes,Sanjay,Homes ,1-Apr-2015,31-Mar-2016,Yes,,,,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/DocumentList.aspx?RegisteredCharityNumber=1083995&SubsidiaryNumber=0&DocType=AccountList,http://apps.charitycommission.gov.uk/Accounts/Ends95/0001083995_AC_20160331_E_C.pdf,,P6 of the accounts shows the capacity and the occupancy - these have been multiplied to get the number of people cared for,"4,165",people (singular: person) cared for in homes,"Our interpretation of the accounts suggests that most of the cost is covered by the elderly people or their family, so donations here are just subsidising that cost. MHA's care homes offer en-suite accommodation, home-cooked meals, individual support and personal care (such as bathing, dressing and administering medication when required) or nursing care provided by qualified nurses. Some offer specialist care, which may include specialist nursing, for people with dementia.",,,,,,,,,,,"£144,667,017","£131,068,161",,,"£13,598,855","£3,265",,,,,,,,"The accounts provided a figure for the amount of fees and charges received by the charity. These calculations treat these as something already accounted for -- i.e. donors funds are additional to these. However it was not clear from the accounts how those fees split between the care homes and the retirement living, so we made an estimate.",,,,,,,Yes,Yes,Medium,,"MHA Care Homes, Retirement Villages, Dementia Care and Community Support for the Elderly.",,,,,,,,,,,,,,,,,
